"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2015","3,148.87","3,202.94","3,220.87","3,108.57","-","-2.05%"
"Mar 23, 2015","3,214.93","3,311.42","3,328.97","3,198.98","-","-3.09%"
"Mar 20, 2015","3,317.47","3,304.23","3,356.98","3,304.23","-","0.40%"
"Mar 19, 2015","3,304.23","3,333.41","3,363.58","3,255.30","-","-1.09%"
"Mar 18, 2015","3,340.80","3,304.17","3,354.22","3,256.54","-","0.77%"
"Mar 17, 2015","3,315.33","3,157.54","3,323.60","3,151.98","-","4.85%"
"Mar 16, 2015","3,162.04","2,995.62","3,164.52","2,993.46","-","6.11%"
"Mar 13, 2015","2,980.01","2,990.31","2,990.31","2,925.70","-","-0.67%"
"Mar 12, 2015","3,000.03","2,950.56","3,009.80","2,950.56","-","2.18%"
"Mar 11, 2015","2,935.91","2,911.18","2,941.82","2,902.43","-","0.83%"
"Mar 10, 2015","2,911.63","2,928.81","2,932.11","2,906.62","-","-0.81%"
"Mar 09, 2015","2,935.44","2,906.31","2,950.48","2,866.45","-","1.12%"
"Mar 06, 2015","2,902.99","2,892.83","2,923.03","2,890.33","-","0.36%"
"Mar 05, 2015","2,892.65","2,780.22","2,901.95","2,780.22","-","3.91%"
"Mar 04, 2015","2,783.86","2,763.57","2,793.26","2,746.40","-","0.31%"
"Mar 03, 2015","2,775.31","2,763.98","2,785.17","2,730.59","-","0.44%"
"Mar 02, 2015","2,763.15","2,755.98","2,792.92","2,735.57","-","0.79%"
"Feb 27, 2015","2,741.38","2,763.97","2,780.21","2,737.28","-","-0.69%"
"Feb 26, 2015","2,760.56","2,856.14","2,856.14","2,731.95","-","-3.51%"
"Feb 25, 2015","2,860.93","2,883.04","2,914.56","2,856.06","-","-0.70%"
"Feb 24, 2015","2,881.05","2,868.02","2,885.28","2,792.86","-","0.81%"
"Feb 23, 2015","2,857.83","2,792.53","2,866.65","2,779.65","-","2.47%"
"Feb 20, 2015","2,788.90","2,757.32","2,791.12","2,730.24","-","0.98%"
"Feb 19, 2015","2,761.87","2,742.06","2,763.65","2,685.65","-","0.54%"
"Feb 18, 2015","2,746.99","2,749.48","2,749.48","2,720.73","-","-0.14%"
"Feb 17, 2015","2,750.72","2,662.54","2,751.81","2,658.56","-","3.21%"
"Feb 13, 2015","2,665.26","2,576.94","2,681.44","2,576.03","-","3.83%"
"Feb 12, 2015","2,566.86","2,524.41","2,567.60","2,522.86","-","2.67%"
"Feb 11, 2015","2,500.12","2,464.63","2,506.95","2,461.99","-","0.84%"
"Feb 10, 2015","2,479.36","2,434.24","2,480.13","2,420.30","-","2.11%"
"Feb 09, 2015","2,428.19","2,416.76","2,431.63","2,414.41","-","0.37%"
"Feb 06, 2015","2,419.21","2,409.78","2,428.00","2,409.44","-","0.06%"
"Feb 05, 2015","2,417.85","2,411.07","2,422.05","2,397.17","-","0.70%"
"Feb 04, 2015","2,401.05","2,382.64","2,406.84","2,358.04","-","0.35%"
"Feb 03, 2015","2,392.60","2,328.51","2,392.76","2,328.51","-","3.12%"
"Feb 02, 2015","2,320.22","2,295.13","2,323.37","2,282.70","-","1.76%"
"Jan 30, 2015","2,280.16","2,254.47","2,294.75","2,241.11","-","0.07%"
"Jan 29, 2015","2,278.59","2,305.72","2,312.86","2,271.78","-","-0.83%"
"Jan 28, 2015","2,297.69","2,389.28","2,390.49","2,297.06","-","-3.74%"
"Jan 27, 2015","2,386.98","2,327.57","2,399.95","2,320.55","-","1.54%"
"Jan 26, 2015","2,350.84","2,357.85","2,366.92","2,349.13","-","-0.23%"
"Jan 23, 2015","2,356.28","2,376.12","2,376.22","2,338.41","-","-1.00%"
"Jan 22, 2015","2,380.11","2,366.89","2,381.71","2,342.64","-","0.38%"
"Jan 21, 2015","2,371.11","2,344.59","2,388.85","2,338.28","-","1.12%"
"Jan 20, 2015","2,344.75","2,368.18","2,370.07","2,334.05","-","-1.08%"
"Jan 16, 2015","2,370.30","2,334.09","2,371.91","2,320.42","-","1.96%"
"Jan 15, 2015","2,324.70","2,354.89","2,363.10","2,322.06","-","-1.20%"
"Jan 14, 2015","2,352.96","2,300.66","2,354.56","2,285.22","-","1.37%"
"Jan 13, 2015","2,321.14","2,296.05","2,321.14","2,278.12","-","1.55%"
"Jan 12, 2015","2,285.61","2,313.02","2,319.85","2,263.10","-","-2.04%"
"Jan 09, 2015","2,333.29","2,330.90","2,339.60","2,300.83","-","0.08%"
