"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 18, 2016","5,895.22","5,899.63","5,928.19","5,865.20","-","0.17%"
"Mar 17, 2016","5,885.02","5,881.97","5,905.10","5,859.22","-","0.66%"
"Mar 16, 2016","5,846.71","5,831.05","5,846.71","5,804.69","-","0.31%"
"Mar 15, 2016","5,828.93","5,875.82","5,878.20","5,818.28","-","-0.79%"
"Mar 14, 2016","5,875.09","5,801.69","5,876.90","5,801.69","-","1.52%"
"Mar 11, 2016","5,787.29","5,734.03","5,787.29","5,732.66","-","0.58%"
"Mar 10, 2016","5,753.80","5,727.60","5,753.80","5,686.49","-","-0.14%"
"Mar 08, 2016","5,761.88","5,783.04","5,795.58","5,698.00","-","-0.46%"
"Mar 07, 2016","5,788.35","5,820.44","5,832.73","5,767.11","-","-0.41%"
"Mar 04, 2016","5,812.10","5,815.68","5,824.77","5,736.79","-","0.09%"
"Mar 03, 2016","5,807.12","5,815.61","5,840.53","5,762.62","-","0.41%"
"Mar 02, 2016","5,783.66","5,764.26","5,801.70","5,757.90","-","1.38%"
"Mar 01, 2016","5,704.92","5,687.42","5,719.83","5,684.34","-","-0.04%"
"Feb 29, 2016","5,707.26","5,663.50","5,711.65","5,631.82","-","1.04%"
"Feb 26, 2016","5,648.74","5,556.78","5,656.75","5,556.78","-","2.12%"
"Feb 25, 2016","5,531.49","5,530.80","5,559.24","5,515.50","-","-0.01%"
"Feb 24, 2016","5,531.88","5,510.86","5,553.22","5,469.95","-","0.08%"
"Feb 23, 2016","5,527.69","5,610.62","5,618.88","5,490.03","-","-1.37%"
"Feb 22, 2016","5,604.32","5,612.01","5,629.99","5,581.85","-","-0.32%"
"Feb 19, 2016","5,622.12","5,731.43","5,731.43","5,594.67","-","-2.79%"
"Feb 18, 2016","5,783.67","5,794.23","5,822.76","5,751.59","-","0.38%"
"Feb 17, 2016","5,761.67","5,720.81","5,768.16","5,720.04","-","0.53%"
"Feb 16, 2016","5,731.29","5,716.02","5,761.67","5,700.83","-","0.30%"
"Feb 15, 2016","5,714.21","5,742.35","5,757.74","5,700.65","-","0.45%"
"Feb 12, 2016","5,688.73","5,788.98","5,788.98","5,684.38","-","-1.90%"
"Feb 11, 2016","5,798.85","5,702.62","5,815.82","5,702.62","-","1.40%"
"Feb 10, 2016","5,718.89","5,718.95","5,781.07","5,713.72","-","-0.78%"
"Feb 09, 2016","5,763.69","5,764.46","5,780.30","5,706.32","-","-1.12%"
"Feb 05, 2016","5,828.96","5,611.20","5,828.96","5,611.20","-","4.28%"
