"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2014","5,593.64","5,583.20","5,598.40","5,563.70","540.34M","0.19%"
"Aug 19, 2014","5,583.20","5,546.90","5,586.10","5,542.20","506.05M","0.65%"
"Aug 18, 2014","5,546.90","5,526.30","5,546.90","5,526.30","339.46M","0.37%"
"Aug 15, 2014","5,526.33","5,508.50","5,538.20","5,505.00","419.61M","0.32%"
"Aug 14, 2014","5,508.46","5,474.80","5,518.40","5,474.80","528.90M","0.62%"
"Aug 13, 2014","5,474.77","5,490.00","5,490.00","5,463.30","401.22M","-0.28%"
"Aug 12, 2014","5,490.04","5,417.20","5,493.30","5,417.20","446.29M","1.34%"
"Aug 11, 2014","5,417.24","5,395.80","5,436.30","5,395.80","343.74M","0.40%"
"Aug 08, 2014","5,395.84","5,468.00","5,468.00","5,385.80","528.01M","-1.32%"
"Aug 07, 2014","5,467.98","5,471.50","5,481.60","5,449.70","503.65M","-0.06%"
"Aug 06, 2014","5,471.51","5,478.10","5,478.10","5,454.70","419.53M","-0.12%"
"Aug 05, 2014","5,478.02","5,500.40","5,508.30","5,469.30","414.90M","-0.41%"
"Aug 04, 2014","5,500.40","5,511.50","5,511.50","5,484.00","279.87M","-0.27%"
"Aug 01, 2014","5,515.49","5,590.90","5,590.90","5,503.30","492.68M","-1.35%"
"Jul 31, 2014","5,590.94","5,581.20","5,602.10","5,576.40","458.56M","0.17%"
"Jul 30, 2014","5,581.20","5,546.60","5,589.20","5,546.60","443.09M","0.62%"
"Jul 29, 2014","5,546.59","5,535.20","5,552.30","5,523.70","422.04M","0.21%"
"Jul 28, 2014","5,535.24","5,541.20","5,545.40","5,516.70","424.04M","-0.11%"
"Jul 25, 2014","5,541.19","5,545.60","5,546.50","5,526.20","494.32M","-0.08%"
"Jul 24, 2014","5,545.57","5,534.80","5,550.40","5,530.40","494.02M","0.19%"
"Jul 23, 2014","5,534.78","5,501.80","5,556.00","5,501.80","518.96M","0.60%"
"Jul 22, 2014","5,501.76","5,498.30","5,503.90","5,488.80","429.78M","0.06%"
"Jul 21, 2014","5,498.33","5,490.40","5,511.30","5,488.80","374.62M","0.14%"
"Jul 18, 2014","5,490.42","5,480.90","5,490.42","5,443.10","484.63M","0.17%"
"Jul 17, 2014","5,480.89","5,477.10","5,519.40","5,477.10","564.88M","0.07%"
"Jul 16, 2014","5,477.08","5,469.60","5,485.60","5,458.00","448.55M","0.14%"
"Jul 15, 2014","5,469.63","5,469.90","5,494.40","5,452.10","448.28M","-0.00%"
"Jul 14, 2014","5,469.87","5,445.20","5,476.90","5,445.20","322.45M","0.45%"
"Jul 11, 2014","5,445.21","5,422.90","5,461.40","5,400.30","407.85M","0.41%"
"Jul 10, 2014","5,422.91","5,410.80","5,427.80","5,407.00","408.55M","0.22%"
"Jul 09, 2014","5,410.82","5,468.80","5,468.80","5,397.90","447.18M","-1.06%"
"Jul 08, 2014","5,468.78","5,476.60","5,477.70","5,458.50","423.79M","-0.14%"
"Jul 07, 2014","5,476.56","5,482.30","5,493.40","5,471.70","406.63M","-0.11%"
"Jul 04, 2014","5,482.33","5,448.60","5,489.20","5,448.60","521.02M","0.62%"
"Jul 03, 2014","5,448.62","5,414.90","5,457.00","5,414.90","490.19M","0.65%"
"Jul 02, 2014","5,413.42","5,334.20","5,413.40","5,334.20","469.04M","1.48%"
"Jul 01, 2014","5,334.24","5,353.80","5,372.70","5,329.30","502.45M","-0.36%"
"Jun 30, 2014","5,353.76","5,402.90","5,404.10","5,353.80","461.28M","-0.92%"
"Jun 27, 2014","5,403.20","5,422.40","5,438.00","5,398.90","680.12M","-0.35%"
"Jun 26, 2014","5,422.43","5,360.50","5,422.40","5,360.50","473.27M","1.15%"
"Jun 25, 2014","5,360.52","5,391.20","5,391.20","5,337.70","528.51M","-0.57%"
"Jun 24, 2014","5,391.24","5,411.40","5,412.70","5,383.30","479.34M","-0.37%"
"Jun 23, 2014","5,411.36","5,377.20","5,426.60","5,377.20","450.45M","0.63%"
"Jun 20, 2014","5,377.24","5,424.90","5,424.90","5,375.80","727.41M","-0.88%"
"Jun 19, 2014","5,424.88","5,339.90","5,424.90","5,339.90","674.24M","1.59%"
