"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2017","55,441","54,980","55,551","54,951","32.63K","1.47%"
"Nov 20, 2017","54,640","54,239","54,702","54,189","23.15K","0.68%"
"Nov 17, 2017","54,273","53,951","54,316","53,901","23.49K","0.96%"
"Nov 16, 2017","53,758","53,729","53,924","53,589","18.99K","0.68%"
"Nov 15, 2017","53,395","53,535","53,786","53,381","31.95K","-0.52%"
"Nov 14, 2017","53,674","53,953","54,129","53,600","26.24K","-0.55%"
"Nov 13, 2017","53,969","53,980","54,245","53,880","23.97K","0.24%"
"Nov 10, 2017","53,841","54,080","54,199","53,790","19.45K","-0.26%"
"Nov 09, 2017","53,982","54,250","54,388","53,865","17.09K","-0.36%"
"Nov 08, 2017","54,175","54,020","54,290","54,020","19.75K","-0.22%"
"Nov 07, 2017","54,297","54,502","54,689","54,177","19.66K","0.45%"
"Nov 06, 2017","54,055","53,850","54,216","53,850","15.54K","0.66%"
"Nov 03, 2017","53,698","53,650","53,780","53,531","14.64K","0.59%"
"Nov 02, 2017","53,381","53,445","53,547","53,302","15.84K","-0.37%"
"Nov 01, 2017","53,581","53,499","53,917","53,498","35.65K","0.74%"
"Oct 31, 2017","53,186","52,910","53,447","52,910","20.65K","0.30%"
"Oct 30, 2017","53,029","52,989","53,152","52,905","20.57K","0.06%"
"Oct 27, 2017","52,996","52,949","53,090","52,770","29.60K","0.12%"
"Oct 26, 2017","52,935","52,381","53,140","52,381","30.21K","0.94%"
"Oct 25, 2017","52,440","52,315","52,597","52,150","15.75K","0.49%"
"Oct 24, 2017","52,182","52,179","52,318","52,056","19.02K","-0.13%"
"Oct 23, 2017","52,252","52,375","52,498","52,190","17.21K","0.02%"
"Oct 20, 2017","52,241","52,447","52,562","52,222","20.78K","0.10%"
"Oct 19, 2017","52,189","52,299","52,337","51,905","24.64K","-0.41%"
"Oct 18, 2017","52,406","52,099","52,448","51,959","17.81K","0.44%"
"Oct 17, 2017","52,177","52,497","52,529","52,025","18.05K","-0.50%"
"Oct 16, 2017","52,438","52,335","52,617","52,335","24.36K","0.55%"
"Oct 13, 2017","52,153","51,999","52,300","51,855","21.75K","0.20%"
"Oct 12, 2017","52,049","52,075","52,199","51,951","23.90K","-0.22%"
"Oct 11, 2017","52,165","52,199","52,295","52,015","25.44K","0.12%"
"Oct 10, 2017","52,103","52,080","52,178","51,930","26.11K","0.09%"
"Oct 09, 2017","52,057","51,778","52,298","51,750","27.08K","0.54%"
"Oct 06, 2017","51,777","51,781","51,888","51,580","28.82K","0.40%"
"Oct 05, 2017","51,571","51,322","51,670","51,256","26.71K","0.50%"
"Oct 04, 2017","51,313","50,972","51,350","50,972","26.35K","0.76%"
"Oct 03, 2017","50,924","50,606","51,077","50,550","29.73K","1.09%"
"Oct 02, 2017","50,375","50,350","50,588","50,282","27.69K","0.47%"
"Sep 29, 2017","50,137","49,769","50,246","49,765","20.75K","1.04%"
"Sep 28, 2017","49,623","49,799","49,870","49,490","20.31K","-0.34%"
"Sep 27, 2017","49,790","49,695","49,921","49,610","23.36K","0.37%"
"Sep 26, 2017","49,608","50,070","50,073","49,393","41.70K","-1.56%"
"Sep 22, 2017","50,396","50,334","50,500","50,088","31.64K","1.57%"
"Sep 21, 2017","49,615","49,553","49,645","49,429","9.34K","0.13%"
"Sep 20, 2017","49,551","49,603","49,799","49,434","109.23K","-0.24%"
"Sep 19, 2017","49,668","49,635","49,734","49,312","202.03K","0.06%"
"Sep 18, 2017","49,639","49,595","49,832","49,460","119.78K","0.70%"
"Sep 15, 2017","49,295","49,300","49,465","49,123","51.50K","-0.32%"
"Sep 14, 2017","49,453","49,670","49,708","49,265","26.66K","-0.55%"
"Sep 13, 2017","49,725","49,840","49,987","49,690","33.15K","-0.32%"
"Sep 12, 2017","49,884","49,695","50,012","49,651","27.36K","0.67%"
"Sep 11, 2017","49,554","49,489","49,660","49,310","24.38K","0.78%"
"Sep 08, 2017","49,169","49,345","49,380","49,096","17.22K","-0.42%"
"Sep 07, 2017","49,375","48,901","49,490","48,650","26.65K","0.89%"
"Sep 06, 2017","48,938","49,390","49,430","48,900","31.08K","-0.99%"
"Sep 05, 2017","49,428","49,678","49,681","49,423","17.11K","-0.37%"
"Sep 04, 2017","49,614","49,603","49,808","49,445","12.49K","-0.44%"
"Sep 01, 2017","49,831","49,900","50,016","49,751","21.00K","0.00%"
"Aug 31, 2017","49,831","49,550","49,893","49,495","22.17K","0.72%"
"Aug 30, 2017","49,474","49,961","50,140","49,350","24.74K","-0.56%"
"Aug 29, 2017","49,753","49,700","49,820","49,431","26.87K","-0.43%"
"Aug 28, 2017","49,967","49,875","50,084","49,811","17.03K","-0.15%"
"Aug 25, 2017","50,043","49,970","50,317","49,875","20.35K","0.10%"
"Aug 24, 2017","49,994","49,705","50,143","49,629","29.81K","0.79%"
"Aug 23, 2017","49,600","49,481","49,802","49,420","27.30K","0.28%"
"Aug 22, 2017","49,462","49,149","49,582","49,147","21.30K","1.16%"
"Aug 21, 2017","48,896","48,925","49,173","48,868","24.61K","0.09%"
"Aug 18, 2017","48,850","48,750","49,027","48,698","20.08K","-0.40%"
"Aug 17, 2017","49,048","49,123","49,363","48,862","21.58K","-0.15%"
"Aug 16, 2017","49,120","48,756","49,265","48,756","30.83K","1.07%"
"Aug 15, 2017","48,599","49,100","49,179","48,559","23.47K","-0.95%"
"Aug 14, 2017","49,067","48,900","49,249","48,890","24.48K","0.70%"
"Aug 11, 2017","48,728","48,750","48,897","48,590","33.91K","-1.14%"
"Aug 10, 2017","49,289","49,501","49,750","49,100","35.26K","-0.99%"
"Aug 09, 2017","49,782","49,782","49,782","49,782","-","0.44%"
"Aug 08, 2017","49,562","49,825","50,000","49,431","22.15K","-0.35%"
"Aug 07, 2017","49,735","49,820","49,931","49,645","20.39K","0.53%"
"Aug 04, 2017","49,472","49,390","49,593","49,273","19.77K","0.49%"
"Aug 03, 2017","49,231","48,940","49,315","48,861","23.19K","0.78%"
"Aug 02, 2017","48,851","49,020","49,220","48,780","23.62K","-0.52%"
"Aug 01, 2017","49,107","49,040","49,138","48,775","28.83K","0.49%"
"Jul 31, 2017","48,868","48,887","49,120","48,811","23.99K","0.58%"
"Jul 28, 2017","48,587","48,410","48,680","48,307","24.71K","0.00%"
"Jul 27, 2017","48,587","48,760","49,019","48,544","27.20K","-0.22%"
"Jul 26, 2017","48,696","48,329","48,765","48,263","30.39K","0.83%"
"Jul 25, 2017","48,297","48,244","48,625","48,198","33.99K","0.24%"
"Jul 24, 2017","48,179","48,021","48,377","48,009","22.85K","0.54%"
"Jul 21, 2017","47,922","48,033","48,450","47,864","27.90K","-0.15%"
"Jul 20, 2017","47,995","47,913","48,245","47,849","32.12K","0.17%"
"Jul 19, 2017","47,915","47,386","47,961","47,367","29.86K","1.69%"
"Jul 18, 2017","47,121","47,500","47,569","47,065","23.51K","-1.15%"
"Jul 17, 2017","47,670","47,521","47,690","47,420","25.72K","0.39%"
"Jul 14, 2017","47,487","47,200","47,549","47,140","23.69K","0.56%"
"Jul 13, 2017","47,224","46,947","47,280","46,869","23.24K","0.75%"
"Jul 12, 2017","46,871","46,340","46,959","46,340","25.64K","1.06%"
"Jul 11, 2017","46,381","46,395","46,745","46,221","23.26K","0.42%"
"Jul 10, 2017","46,185","45,901","46,270","45,730","20.72K","0.68%"
"Jul 07, 2017","45,871","46,100","46,210","45,670","32.20K","-0.74%"
"Jul 06, 2017","46,215","46,444","46,690","46,110","22.86K","-0.60%"
"Jul 05, 2017","46,496","46,077","46,527","45,939","21.69K","0.89%"
"Jul 04, 2017","46,084","46,025","46,190","45,860","17.43K","-0.47%"
"Jul 03, 2017","46,300","45,721","46,302","45,535","20.43K","1.35%"
"Jun 30, 2017","45,682","45,280","45,829","45,216","20.16K","0.58%"
"Jun 29, 2017","45,419","45,977","46,190","45,207","24.97K","-0.89%"
"Jun 28, 2017","45,826","45,487","45,866","45,435","20.02K","0.45%"
"Jun 27, 2017","45,622","45,456","45,777","45,374","24.75K","0.37%"
"Jun 26, 2017","45,453","45,721","45,792","45,365","29.30K","-0.51%"
"Jun 23, 2017","45,688","45,239","45,790","45,150","21.16K","0.99%"
"Jun 22, 2017","45,239","45,513","45,540","44,945","28.45K","-0.63%"
"Jun 21, 2017","45,526","45,056","45,555","44,955","28.92K","0.53%"
"Jun 20, 2017","45,287","45,745","45,752","45,115","36.32K","-0.85%"
"Jun 19, 2017","45,673","45,110","45,729","45,046","37.74K","1.97%"
