"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 22, 2019","596.59","601.71","602.07","596.50","-","-0.80%"
"Aug 21, 2019","601.41","599.39","604.04","598.27","-","0.10%"
"Aug 20, 2019","600.79","593.65","602.09","592.99","-","1.23%"
"Aug 19, 2019","593.51","592.12","595.68","592.12","-","0.31%"
"Aug 16, 2019","591.66","591.99","591.99","585.28","-","-0.22%"
"Aug 14, 2019","592.94","590.70","597.86","590.70","-","0.88%"
"Aug 13, 2019","587.74","592.83","592.83","587.69","-","-1.05%"
"Aug 12, 2019","593.97","592.49","596.68","592.30","-","0.30%"
"Aug 09, 2019","592.22","590.53","595.48","590.53","-","1.03%"
"Aug 08, 2019","586.19","587.17","593.12","586.19","-","0.12%"
"Aug 07, 2019","585.46","589.03","592.71","584.01","-","-0.55%"
"Aug 06, 2019","588.70","594.06","597.03","581.53","-","-1.50%"
"Aug 05, 2019","597.68","611.13","611.13","596.76","-","-2.28%"
"Aug 02, 2019","611.64","615.36","615.36","609.13","-","-1.22%"
"Aug 01, 2019","619.19","620.13","623.05","616.55","-","-0.25%"
"Jul 31, 2019","620.75","627.36","627.98","617.62","-","-1.10%"
"Jul 30, 2019","627.64","626.93","629.82","626.92","-","0.39%"
"Jul 29, 2019","625.22","635.30","635.30","623.67","-","-1.62%"
"Jul 26, 2019","635.51","636.74","636.74","631.53","-","-0.31%"
"Jul 25, 2019","637.50","637.05","640.46","633.65","-","0.13%"
"Jul 24, 2019","636.68","642.89","644.64","636.07","-","-1.04%"
"Jul 23, 2019","643.40","641.52","645.16","641.40","-","0.49%"
"Jul 22, 2019","640.24","639.77","641.98","638.15","-","0.07%"
"Jul 19, 2019","639.78","631.09","640.76","631.09","-","1.50%"
"Jul 18, 2019","630.32","631.59","632.41","628.21","-","-0.31%"
"Jul 17, 2019","632.30","637.45","637.45","629.75","-","-0.91%"
"Jul 16, 2019","638.09","634.71","639.44","634.13","-","0.49%"
"Jul 15, 2019","634.97","634.74","636.72","631.11","-","0.02%"
"Jul 12, 2019","634.84","633.08","636.25","631.87","-","0.26%"
"Jul 11, 2019","633.22","626.16","635.76","626.16","-","1.10%"
"Jul 10, 2019","626.32","626.37","629.58","625.89","-","0.51%"
"Jul 09, 2019","623.15","624.73","628.74","623.15","-","-0.26%"
"Jul 08, 2019","624.77","633.06","633.06","624.25","-","-2.10%"
"Jul 05, 2019","638.14","638.61","640.41","633.81","-","-0.14%"
"Jul 04, 2019","639.02","633.48","639.29","633.38","-","0.81%"
"Jul 03, 2019","633.90","642.18","643.33","632.63","-","-1.30%"
"Jul 02, 2019","642.23","645.41","646.00","639.42","-","-0.57%"
"Jul 01, 2019","645.94","647.01","650.54","645.00","-","0.02%"
"Jun 28, 2019","645.79","646.13","648.09","643.60","-","-0.08%"
"Jun 27, 2019","646.33","643.11","648.71","640.95","-","0.67%"
"Jun 26, 2019","642.06","640.80","643.67","639.85","-","0.19%"
"Jun 25, 2019","640.85","641.39","644.57","638.23","-","-0.02%"
"Jun 24, 2019","641.00","640.13","643.12","639.91","-","0.01%"
"Jun 21, 2019","640.94","642.24","643.07","638.88","-","-0.21%"
"Jun 20, 2019","642.31","640.21","642.31","637.85","-","0.33%"
"Jun 19, 2019","640.22","634.06","640.61","634.06","-","1.54%"
"Jun 18, 2019","630.49","627.29","631.49","626.48","-","0.51%"
"Jun 17, 2019","627.31","628.56","630.89","625.29","-","-0.19%"
"Jun 14, 2019","628.49","629.58","630.99","625.18","-","-0.19%"
"Jun 13, 2019","629.71","634.57","634.57","623.75","-","-0.77%"
"Jun 12, 2019","634.60","636.19","637.67","632.57","-","-0.24%"
"Jun 11, 2019","636.13","633.55","636.98","631.63","-","0.40%"
"Jun 10, 2019","633.57","624.55","633.57","624.55","-","1.44%"
"Jun 07, 2019","624.55","623.86","627.43","619.72","-","0.14%"
"Jun 05, 2019","623.65","623.10","629.79","622.34","-","0.12%"
"Jun 04, 2019","622.92","624.76","624.76","620.66","-","-0.29%"
"Jun 03, 2019","624.76","613.33","625.58","611.10","-","1.75%"
"May 31, 2019","614.03","612.35","616.46","607.86","-","0.11%"
"May 30, 2019","613.33","607.68","613.97","607.68","-","1.07%"
"May 29, 2019","606.81","611.15","612.56","604.08","-","-1.26%"
